BusinessName,BusinessType,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityName,Longitude,Latitude,ImagePath
Andy's Fish Bar,Takeaway/sandwich shop,RM7 0TL,5,fhrs_5_en-GB,2024-09-20,Barking and Dagenham,0.176142,51.564016,images/test\fhrs_5_en-GB.png
Angelos Balkans LTD,Restaurant/Cafe/Canteen,IG11 8UN,4,fhrs_4_en-GB,2024-10-24,Barking and Dagenham,0.0937445,51.5453542,images/test\fhrs_4_en-GB.png
Angels Bakery,Takeaway/sandwich shop,RM9 5AQ,4,fhrs_4_en-GB,2024-03-23,Barking and Dagenham,0.1475988,51.5419706,images/test\fhrs_4_en-GB.png
Angies Cafe and Kebab Ltd,Takeaway/sandwich shop,RM9 4TP,5,fhrs_5_en-GB,2024-02-17,Barking and Dagenham,0.127901,51.539793,images/test\fhrs_5_en-GB.png
Anteiku Coffeeshop,Restaurant/Cafe/Canteen,IG11 8QA,5,fhrs_5_en-GB,2024-10-19,Barking and Dagenham,0.0779597,51.5436294,images/test\fhrs_5_en-GB.png
Arens Food & Beverages Ltd,Restaurant/Cafe/Canteen,IG11 8DQ,5,fhrs_5_en-GB,2024-12-12,Barking and Dagenham,0.081221,51.537905,images/test\fhrs_5_en-GB.png
Ariana Restaurant Limited,Restaurant/Cafe/Canteen,IG11 8SF,3,fhrs_3_en-GB,2024-04-09,Barking and Dagenham,0.084551,51.541353,images/test\fhrs_3_en-GB.png
Aroma,Takeaway/sandwich shop,RM6 6PP,4,fhrs_4_en-GB,2024-03-12,Barking and Dagenham,0.133509,51.571184,images/test\fhrs_4_en-GB.png
Aroma,Takeaway/sandwich shop,RM9 4QS,2,fhrs_2_en-GB,2024-07-22,Barking and Dagenham,0.110777,51.534985,images/test\fhrs_2_en-GB.png
ARP Chicken & Pizza Ltd,Takeaway/sandwich shop,IG11 7PR,3,fhrs_3_en-GB,2024-06-17,Barking and Dagenham,0.085834,51.534083,images/test\fhrs_3_en-GB.png
Asli Butt Karahi,Restaurant/Cafe/Canteen,RM8 1YT,3,fhrs_3_en-GB,2024-08-31,Barking and Dagenham,0.123053,51.562039,images/test\fhrs_3_en-GB.png
Atlantic Fish Bar,Takeaway/sandwich shop,IG11 0NY,4,fhrs_4_en-GB,2023-09-18,Barking and Dagenham,0.104121,51.528837,images/test\fhrs_4_en-GB.png
Aunty's Cahi Khana,Restaurant/Cafe/Canteen,RM8 1XU,1,fhrs_1_en-GB,2024-11-01,Barking and Dagenham,0.120558,51.562992,images/test\fhrs_1_en-GB.png
B Square Grill Ltd,Takeaway/sandwich shop,RM10 7YA,4,fhrs_4_en-GB,2023-05-20,Barking and Dagenham,0.1531428,51.5515725,images/test\fhrs_4_en-GB.png
Balti Cottage,Restaurant/Cafe/Canteen,RM9 6UR,3,fhrs_3_en-GB,2024-02-24,Barking and Dagenham,0.146885,51.532253,images/test\fhrs_3_en-GB.png
Bambino City,Takeaway/sandwich shop,RM9 6FJ,5,fhrs_5_en-GB,2023-12-08,Barking and Dagenham,0.1453945,51.5301681,images/test\fhrs_5_en-GB.png
Barking Cafe,Restaurant/Cafe/Canteen,IG11 8ER,4,fhrs_4_en-GB,2023-09-02,Barking and Dagenham,0.077709,51.536781,images/test\fhrs_4_en-GB.png
Barking Cafe Ltd,Restaurant/Cafe/Canteen,IG11 8EJ,4,fhrs_4_en-GB,2021-08-12,Barking and Dagenham,0.0792597,51.5379769,images/test\fhrs_4_en-GB.png
Barking Chaiiwala,Restaurant/Cafe/Canteen,IG11 0NY,4,fhrs_4_en-GB,2024-11-02,Barking and Dagenham,0.104121,51.528837,images/test\fhrs_4_en-GB.png
Barking Chunky,Takeaway/sandwich shop,IG11 8SF,4,fhrs_4_en-GB,2024-08-28,Barking and Dagenham,0.084551,51.541354,images/test\fhrs_4_en-GB.png
Barking Community Hospital,Restaurant/Cafe/Canteen,IG11 9LX,5,fhrs_5_en-GB,2023-11-20,Barking and Dagenham,0.098657,51.538881,images/test\fhrs_5_en-GB.png
Barking Sportshouse & Gym,Restaurant/Cafe/Canteen,RM8 2JR,5,fhrs_5_en-GB,2024-07-11,Barking and Dagenham,0.11296,51.545378,images/test\fhrs_5_en-GB.png
Bartlett Mitchell Ltd T/A Hapag Lloyd Cafe,Restaurant/Cafe/Canteen,IG11 8NW,5,fhrs_5_en-GB,2024-01-17,Barking and Dagenham,0.078544,51.539923,images/test\fhrs_5_en-GB.png
Bayleaf,Takeaway/sandwich shop,RM8 2AJ,3,fhrs_3_en-GB,2023-10-05,Barking and Dagenham,0.115259,51.551406,images/test\fhrs_3_en-GB.png
Beadles Parade Fish & Chips,Takeaway/sandwich shop,RM10 8YL,5,fhrs_5_en-GB,2024-07-12,Barking and Dagenham,0.165924,51.542712,images/test\fhrs_5_en-GB.png
Becontree BBQ Turkish Kebab & Fish Bar,Takeaway/sandwich shop,RM8 1DJ,3,fhrs_3_en-GB,2024-05-23,Barking and Dagenham,0.140757,51.561456,images/test\fhrs_3_en-GB.png
Becontree Heath Leisure Centre,Restaurant/Cafe/Canteen,RM10 7FH,5,fhrs_5_en-GB,2024-03-09,Barking and Dagenham,0.14884,51.560895,images/test\fhrs_5_en-GB.png
BEKS ZONE,Restaurant/Cafe/Canteen,IG11 9RS,5,fhrs_5_en-GB,2023-09-02,Barking and Dagenham,0.0945565,51.5353937,images/test\fhrs_5_en-GB.png
Bela Lisbaa,Restaurant/Cafe/Canteen,IG11 9RS,3,fhrs_3_en-GB,2024-07-31,Barking and Dagenham,0.0942990034818649,51.5353622436523,images/test\fhrs_3_en-GB.png
Best Bite Chicken,Takeaway/sandwich shop,RM8 3NT,5,fhrs_5_en-GB,2023-08-28,Barking and Dagenham,0.147467,51.559616,images/test\fhrs_5_en-GB.png
Best Cafe,Restaurant/Cafe/Canteen,RM8 1RX,3,fhrs_3_en-GB,2024-07-19,Barking and Dagenham,0.136754,51.56653,images/test\fhrs_3_en-GB.png
Best Doner and Fish,Takeaway/sandwich shop,RM8 1YX,1,fhrs_1_en-GB,2024-11-23,Barking and Dagenham,0.1193671,51.5629063,images/test\fhrs_1_en-GB.png
Best Fish & Chips,Takeaway/sandwich shop,IG11 8RQ,0,fhrs_0_en-GB,2024-01-13,Barking and Dagenham,0.0794292,51.5432797,images/test\fhrs_0_en-GB.png
Best Fish Bar Ltd,Takeaway/sandwich shop,RM9 5AW,5,fhrs_5_en-GB,2024-10-19,Barking and Dagenham,0.147668,51.541222,images/test\fhrs_5_en-GB.png
BGR Romford,Takeaway/sandwich shop,RM8 1UU,5,fhrs_5_en-GB,2024-11-23,Barking and Dagenham,0.122884,51.562447,images/test\fhrs_5_en-GB.png
Big Breakfast Cafe,Restaurant/Cafe/Canteen,RM8 2NT,4,fhrs_4_en-GB,2024-07-13,Barking and Dagenham,0.129532,51.551553,images/test\fhrs_4_en-GB.png
Big Fry,Takeaway/sandwich shop,RM9 4QS,5,fhrs_5_en-GB,2023-09-15,Barking and Dagenham,0.110777,51.534985,images/test\fhrs_5_en-GB.png
Blanca Lounge N Shisha,Restaurant/Cafe/Canteen,RM9 4QS,5,fhrs_5_en-GB,2023-12-18,Barking and Dagenham,0.1105693,51.534612,images/test\fhrs_5_en-GB.png
Bloom's Cafe,Restaurant/Cafe/Canteen,RM6 4BE,5,fhrs_5_en-GB,2022-08-06,Barking and Dagenham,0.1306743,51.5705255,images/test\fhrs_5_en-GB.png
Bo Ji Takeway Limited,Takeaway/sandwich shop,RM10 9XB,2,fhrs_2_en-GB,2023-10-04,Barking and Dagenham,0.1581285,51.5398709,images/test\fhrs_2_en-GB.png
Bodrum Fish & Chips,Takeaway/sandwich shop,RM10 8EH,3,fhrs_3_en-GB,2024-11-16,Barking and Dagenham,0.16055,51.545257,images/test\fhrs_3_en-GB.png
Bon Appetit,Restaurant/Cafe/Canteen,RM6 6PB,4,fhrs_4_en-GB,2024-06-22,Barking and Dagenham,0.133554,51.571543,images/test\fhrs_4_en-GB.png
Brewers Fayre & Premier Inn,Restaurant/Cafe/Canteen,RM9 6YS,5,fhrs_5_en-GB,2023-09-16,Barking and Dagenham,0.149903,51.530822,images/test\fhrs_5_en-GB.png
Brook Pie & Mash,Restaurant/Cafe/Canteen,RM10 7UP,5,fhrs_5_en-GB,2024-07-13,Barking and Dagenham,0.164409,51.552425,images/test\fhrs_5_en-GB.png
Brothers Cafe,Restaurant/Cafe/Canteen,IG11 0HZ,3,fhrs_3_en-GB,2024-05-29,Barking and Dagenham,0.104474,51.524622,images/test\fhrs_3_en-GB.png
Brothers Fish Bar,Takeaway/sandwich shop,RM6 4BE,4,fhrs_4_en-GB,2022-09-29,Barking and Dagenham,0.1306,51.570094,images/test\fhrs_4_en-GB.png
BSQUARE GRILL,Takeaway/sandwich shop,RM6 6PS,5,fhrs_5_en-GB,2024-12-12,Barking and Dagenham,0.1325129,51.5709597,images/test\fhrs_5_en-GB.png
Bubbly Bubbly,Takeaway/sandwich shop,IG11 8AW,3,fhrs_3_en-GB,2023-03-02,Barking and Dagenham,0.0766505,51.5368661,images/test\fhrs_3_en-GB.png
Buddha Kitchen,Takeaway/sandwich shop,RM8 1SL,5,fhrs_5_en-GB,2024-03-12,Barking and Dagenham,0.1331322,51.5641499,images/test\fhrs_5_en-GB.png
Burgers LDN,Restaurant/Cafe/Canteen,IG11 8TG,4,fhrs_4_en-GB,2024-04-30,Barking and Dagenham,0.0839584,51.5414007,images/test\fhrs_4_en-GB.png
Butter Buns,Restaurant/Cafe/Canteen,IG11 8AW,5,fhrs_5_en-GB,2024-08-24,Barking and Dagenham,0.076908,51.536597,images/test\fhrs_5_en-GB.png
Caffe Italiano Ltd,Restaurant/Cafe/Canteen,IG11 8DG,3,fhrs_3_en-GB,2024-03-02,Barking and Dagenham,0.081221,51.537905,images/test\fhrs_3_en-GB.png
Caffe Latte,Restaurant/Cafe/Canteen,IG11 8DG,4,fhrs_4_en-GB,2024-01-16,Barking and Dagenham,0.081221,51.537905,images/test\fhrs_4_en-GB.png
Castle Point Catering,Restaurant/Cafe/Canteen,RM8 3YJ,3,fhrs_3_en-GB,2024-03-07,Barking and Dagenham,0.12649,51.554369,images/test\fhrs_3_en-GB.png
Catering Niki Traditional Food,Restaurant/Cafe/Canteen,RM10 8TX,4,fhrs_4_en-GB,2024-02-28,Barking and Dagenham,0.159458994865417,51.5490264892578,images/test\fhrs_4_en-GB.png
Central Eating,Takeaway/sandwich shop,RM10 8TX,5,fhrs_5_en-GB,2024-03-22,Barking and Dagenham,0.1599011,51.5482676,images/test\fhrs_5_en-GB.png
Charcoal Grill,Takeaway/sandwich shop,RM8 3XP,5,fhrs_5_en-GB,2023-10-05,Barking and Dagenham,0.125839,51.554327,images/test\fhrs_5_en-GB.png
Charcoal Grill Hut & Pizzeria Di Roma,Takeaway/sandwich shop,RM10 9HX,5,fhrs_5_en-GB,2023-12-16,Barking and Dagenham,0.1513303,51.5348517,images/test\fhrs_5_en-GB.png
Cherry on Top,Takeaway/sandwich shop,RM10 8EH,5,fhrs_5_en-GB,2018-06-05,Barking and Dagenham,0.1606036,51.5452391,images/test\fhrs_5_en-GB.png
Chicken Guys,Takeaway/sandwich shop,IG11 8SF,4,fhrs_4_en-GB,2024-05-15,Barking and Dagenham,0.084551,51.541354,images/test\fhrs_4_en-GB.png
Chicken Spot,Takeaway/sandwich shop,RM10 9HX,5,fhrs_5_en-GB,2024-06-20,Barking and Dagenham,0.151302,51.534807,images/test\fhrs_5_en-GB.png
Chicken Spot,Takeaway/sandwich shop,RM6 6NX,4,fhrs_4_en-GB,2023-01-18,Barking and Dagenham,0.135093,51.571425,images/test\fhrs_4_en-GB.png
China Delights,Takeaway/sandwich shop,RM6 6LS,4,fhrs_4_en-GB,2024-10-19,Barking and Dagenham,0.141192,51.571934,images/test\fhrs_4_en-GB.png
China Friend Restaurant,Restaurant/Cafe/Canteen,IG11 8RY,2,fhrs_2_en-GB,2023-07-06,Barking and Dagenham,0.082574,51.540058,images/test\fhrs_2_en-GB.png
Chubby Friar Fish and Chips LTD,Takeaway/sandwich shop,IG11 9PN,5,fhrs_5_en-GB,2024-06-15,Barking and Dagenham,0.094059,51.535789,images/test\fhrs_5_en-GB.png
Chung Wah,Takeaway/sandwich shop,IG11 0NR,2,fhrs_2_en-GB,2024-06-27,Barking and Dagenham,0.09819,51.529051,images/test\fhrs_2_en-GB.png
Chunky Grill and Pizza,Takeaway/sandwich shop,IG11 8EB,1,fhrs_1_en-GB,2024-08-24,Barking and Dagenham,0.080525,51.539087,images/test\fhrs_1_en-GB.png
Claridges,Restaurant/Cafe/Canteen,RM8 1JX,4,fhrs_4_en-GB,2015-10-22,Barking and Dagenham,0.15606,51.562552,images/test\fhrs_4_en-GB.png
Cocoa Vanille,Takeaway/sandwich shop,RM10 7XD,5,fhrs_5_en-GB,2023-03-21,Barking and Dagenham,0.1649297,51.5467422,images/test\fhrs_5_en-GB.png
Costa,Restaurant/Cafe/Canteen,IG11 7BS,5,fhrs_5_en-GB,2017-07-28,Barking and Dagenham,0.070767,51.536319,images/test\fhrs_5_en-GB.png
Costa,Restaurant/Cafe/Canteen,RM10 7FQ,5,fhrs_5_en-GB,2023-05-26,Barking and Dagenham,0.1706176,51.5474494,images/test\fhrs_5_en-GB.png
Costa Coffee,Restaurant/Cafe/Canteen,IG11 8EA,5,fhrs_5_en-GB,2023-03-09,Barking and Dagenham,0.0815813,51.5392397,images/test\fhrs_5_en-GB.png
Cristina's,Restaurant/Cafe/Canteen,IG11 8AW,5,fhrs_5_en-GB,2023-10-21,Barking and Dagenham,0.076908,51.536597,images/test\fhrs_5_en-GB.png
Cristina's Far From Home LTD,Restaurant/Cafe/Canteen,IG11 8AW,5,fhrs_5_en-GB,2024-08-24,Barking and Dagenham,0.076908,51.536597,images/test\fhrs_5_en-GB.png
Crowlands Cafe,Restaurant/Cafe/Canteen,RM8 1JX,4,fhrs_4_en-GB,2024-07-12,Barking and Dagenham,0.15606,51.562552,images/test\fhrs_4_en-GB.png
Curry Mahal Tandoori,Restaurant/Cafe/Canteen,RM9 6UX,1,fhrs_1_en-GB,2024-06-24,Barking and Dagenham,0.1459267,51.5321718,images/test\fhrs_1_en-GB.png
D&D Hill Cafe,Restaurant/Cafe/Canteen,RM9 4TP,4,fhrs_4_en-GB,2024-03-28,Barking and Dagenham,0.127901,51.539793,images/test\fhrs_4_en-GB.png
Daddies,Restaurant/Cafe/Canteen,IG11 0DA,4,fhrs_4_en-GB,2023-03-03,Barking and Dagenham,0.095832,51.523842,images/test\fhrs_4_en-GB.png
DAGENHAM FIRE STATION,Restaurant/Cafe/Canteen,RM10 7ES,3,fhrs_3_en-GB,2024-07-09,Barking and Dagenham,0.156767,51.559517,images/test\fhrs_3_en-GB.png
Daily Munch Cafe,Restaurant/Cafe/Canteen,IG11 8UW,5,fhrs_5_en-GB,2023-05-11,Barking and Dagenham,0.094549,51.545834,images/test\fhrs_5_en-GB.png
De Roya,Restaurant/Cafe/Canteen,IG11 8ET,5,fhrs_5_en-GB,2024-04-20,Barking and Dagenham,0.0769170001149178,51.5364799499512,images/test\fhrs_5_en-GB.png
Deans Peri Peri,Takeaway/sandwich shop,RM9 5AW,3,fhrs_3_en-GB,2023-09-30,Barking and Dagenham,0.147668,51.541222,images/test\fhrs_3_en-GB.png
Deluxe Brew Coffee Co.,Restaurant/Cafe/Canteen,RM9 4TA,5,fhrs_5_en-GB,2024-09-18,Barking and Dagenham,0.1163425,51.5381499,images/test\fhrs_5_en-GB.png
Deshy Grill,Restaurant/Cafe/Canteen,IG11 8EJ,1,fhrs_1_en-GB,2024-08-28,Barking and Dagenham,0.078877,51.537722,images/test\fhrs_1_en-GB.png
Dessert Studio,Restaurant/Cafe/Canteen,IG11 8DH,4,fhrs_4_en-GB,2022-07-15,Barking and Dagenham,0.081658,51.5384093,images/test\fhrs_4_en-GB.png
Deuce Lounge,Restaurant/Cafe/Canteen,IG11 8AG,4,fhrs_4_en-GB,2020-08-11,Barking and Dagenham,0.0780770033597946,51.5382499694824,images/test\fhrs_4_en-GB.png
Dhaba family restaurant,Takeaway/sandwich shop,RM8 1XU,1,fhrs_1_en-GB,2024-08-31,Barking and Dagenham,0.1213672,51.5627892,images/test\fhrs_1_en-GB.png
Dinner Box,Takeaway/sandwich shop,RM8 2AR,5,fhrs_5_en-GB,2024-03-02,Barking and Dagenham,0.110629,51.551418,images/test\fhrs_5_en-GB.png
Dixy Chicken,Takeaway/sandwich shop,IG11 8EA,3,fhrs_3_en-GB,2024-05-23,Barking and Dagenham,0.081616,51.539293,images/test\fhrs_3_en-GB.png
Dixy Chicken,Takeaway/sandwich shop,RM10 7UU,3,fhrs_3_en-GB,2024-07-12,Barking and Dagenham,0.161954,51.550546,images/test\fhrs_3_en-GB.png
Dominos Pizza,Takeaway/sandwich shop,RM9 5AQ,5,fhrs_5_en-GB,2023-03-29,Barking and Dagenham,0.147453,51.542476,images/test\fhrs_5_en-GB.png
Domino's Pizza,Takeaway/sandwich shop,IG11 8RU,5,fhrs_5_en-GB,2024-03-26,Barking and Dagenham,0.0821259990334511,51.5397148132324,images/test\fhrs_5_en-GB.png
Domino's Pizza,Takeaway/sandwich shop,RM6 6NL,5,fhrs_5_en-GB,2024-03-23,Barking and Dagenham,0.137957,51.572191,images/test\fhrs_5_en-GB.png
Dora Gourmet Mama’s Kitchen,Restaurant/Cafe/Canteen,RM9 6RT,5,fhrs_5_en-GB,2024-09-19,Barking and Dagenham,0.14669,51.531789,images/test\fhrs_5_en-GB.png
Dubai Express Pizza,Takeaway/sandwich shop,RM8 3XU,4,fhrs_4_en-GB,2024-07-04,Barking and Dagenham,0.124477,51.561015,images/test\fhrs_4_en-GB.png
Early Birds Cafe,Restaurant/Cafe/Canteen,IG11 8BL,5,fhrs_5_en-GB,2023-01-06,Barking and Dagenham,0.068158,51.5389735,images/test\fhrs_5_en-GB.png
Eastbrook Cafe & Restaurant,Restaurant/Cafe/Canteen,RM10 7UU,4,fhrs_4_en-GB,2022-05-30,Barking and Dagenham,0.161954,51.550546,images/test\fhrs_4_en-GB.png
Eastbrook End Country Park Tea Room,Restaurant/Cafe/Canteen,RM7 0SS,3,fhrs_3_en-GB,2023-11-18,Barking and Dagenham,0.181728005409241,51.555061340332,images/test\fhrs_3_en-GB.png
Eastbury Manor House,Restaurant/Cafe/Canteen,IG11 9SN,4,fhrs_4_en-GB,2024-07-25,Barking and Dagenham,0.099386,51.534354,images/test\fhrs_4_en-GB.png
Eastern Paradise,Restaurant/Cafe/Canteen,IG11 9RS,0,fhrs_0_en-GB,2024-09-25,Barking and Dagenham,0.094299,51.535362,images/test\fhrs_0_en-GB.png
ECU FOOD TRUCK LIMITED,Restaurant/Cafe/Canteen,,4,fhrs_4_en-GB,2024-09-07,Barking and Dagenham,0.14758975,51.5241594,images/test\fhrs_4_en-GB.png
Eden Peri Peri,Restaurant/Cafe/Canteen,RM10 7XD,3,fhrs_3_en-GB,2024-03-25,Barking and Dagenham,0.165059,51.546676,images/test\fhrs_3_en-GB.png
Elior UK Ltd,Restaurant/Cafe/Canteen,IG11 9PH,5,fhrs_5_en-GB,2023-03-13,Barking and Dagenham,0.098811,51.539426,images/test\fhrs_5_en-GB.png
Elm Fish Bar,Takeaway/sandwich shop,RM10 9RL,5,fhrs_5_en-GB,2023-11-04,Barking and Dagenham,0.153794,51.53995,images/test\fhrs_5_en-GB.png
Empire Chinese Take Away,Takeaway/sandwich shop,IG11 0QA,3,fhrs_3_en-GB,2023-11-22,Barking and Dagenham,0.1138452,51.5271968,images/test\fhrs_3_en-GB.png
Enjoy Cafe,Restaurant/Cafe/Canteen,RM10 7XD,5,fhrs_5_en-GB,2024-10-30,Barking and Dagenham,0.165059,51.546676,images/test\fhrs_5_en-GB.png
Enjoy Cafe,Restaurant/Cafe/Canteen,RM9 6QJ,5,fhrs_5_en-GB,2024-02-27,Barking and Dagenham,0.1438238,51.5180913,images/test\fhrs_5_en-GB.png
Essex Kebabish Chadwell Heath,Takeaway/sandwich shop,RM6 6PS,4,fhrs_4_en-GB,2023-12-19,Barking and Dagenham,0.132721,51.571009,images/test\fhrs_4_en-GB.png
Eurest at Ford Dagenham Pitstop,Restaurant/Cafe/Canteen,RM9 6SA,5,fhrs_5_en-GB,2023-03-15,Barking and Dagenham,0.1533376,51.5211545,images/test\fhrs_5_en-GB.png
Eurest Food Services,Restaurant/Cafe/Canteen,IG11 8DJ,4,fhrs_4_en-GB,2023-10-14,Barking and Dagenham,0.082214,51.53849,images/test\fhrs_4_en-GB.png
Eurest Food Services Ford Dagenham - New Haven,Restaurant/Cafe/Canteen,RM9 6SA,5,fhrs_5_en-GB,2023-12-07,Barking and Dagenham,0.153349995613098,51.5143814086914,images/test\fhrs_5_en-GB.png
Eurest Food Servics Ford Dagenham - DDC Restaurant,Restaurant/Cafe/Canteen,RM9 6SA,4,fhrs_4_en-GB,2023-12-07,Barking and Dagenham,0.1516892,51.5121739,images/test\fhrs_4_en-GB.png
Express Chicken,Takeaway/sandwich shop,RM9 6UX,4,fhrs_4_en-GB,2024-09-19,Barking and Dagenham,0.146155,51.532068,images/test\fhrs_4_en-GB.png
"Expressa- Pizza, grill,kebabs,burger",Takeaway/sandwich shop,RM8 1UU,5,fhrs_5_en-GB,2023-07-31,Barking and Dagenham,0.123055003583431,51.5623893737793,images/test\fhrs_5_en-GB.png
Faircross Fish Bar,Takeaway/sandwich shop,IG11 8UN,5,fhrs_5_en-GB,2023-05-11,Barking and Dagenham,0.093127,51.545329,images/test\fhrs_5_en-GB.png
Family Cafe,Restaurant/Cafe/Canteen,RM8 3UH,5,fhrs_5_en-GB,2023-10-12,Barking and Dagenham,0.129283,51.558878,images/test\fhrs_5_en-GB.png
Farmhouse Venue,Restaurant/Cafe/Canteen,RM7 0QX,5,fhrs_5_en-GB,2024-03-12,Barking and Dagenham,0.174286,51.552944,images/test\fhrs_5_en-GB.png
Favorite Chicken & Ribs,Takeaway/sandwich shop,RM7 0TJ,5,fhrs_5_en-GB,2024-07-19,Barking and Dagenham,0.175648,51.564547,images/test\fhrs_5_en-GB.png
Favorite Chicken & Ribs,Takeaway/sandwich shop,RM9 4SH,5,fhrs_5_en-GB,2023-09-23,Barking and Dagenham,0.1266737,51.5388983,images/test\fhrs_5_en-GB.png
Favorite Chicken & Ribs,Takeaway/sandwich shop,IG11 8UW,5,fhrs_5_en-GB,2024-10-24,Barking and Dagenham,0.094549,51.545834,images/test\fhrs_5_en-GB.png
Favorite 'N' Tasty,Takeaway/sandwich shop,RM10 8YL,5,fhrs_5_en-GB,2024-07-12,Barking and Dagenham,0.165924,51.542712,images/test\fhrs_5_en-GB.png
Fiddlers Cafe,Takeaway/sandwich shop,RM8 3HD,4,fhrs_4_en-GB,2023-12-16,Barking and Dagenham,0.146705,51.559981,images/test\fhrs_4_en-GB.png
Fireaway Pizza,Takeaway/sandwich shop,RM10 9JD,5,fhrs_5_en-GB,2024-10-19,Barking and Dagenham,0.151336,51.534006,images/test\fhrs_5_en-GB.png
Flavour Hut,Takeaway/sandwich shop,RM9 4ND,4,fhrs_4_en-GB,2023-12-09,Barking and Dagenham,0.113899,51.541359,images/test\fhrs_4_en-GB.png
Flavours Gelato Dagenham Green Lane,Takeaway/sandwich shop,RM8 1YX,5,fhrs_5_en-GB,2022-07-11,Barking and Dagenham,0.1201817,51.5627387,images/test\fhrs_5_en-GB.png
Flavour's Peri Peri Chicken Dagenham,Takeaway/sandwich shop,RM8 1YT,5,fhrs_5_en-GB,2024-06-22,Barking and Dagenham,0.123053,51.562039,images/test\fhrs_5_en-GB.png
FoodCycle Barking,Restaurant/Cafe/Canteen,IG11 8PY,5,fhrs_5_en-GB,2024-04-21,Barking and Dagenham,0.0775523,51.5441852,images/test\fhrs_5_en-GB.png
Ford Dagenham Autotech - satellite to DDC,Restaurant/Cafe/Canteen,RM9 6SA,5,fhrs_5_en-GB,2023-12-07,Barking and Dagenham,0.150448992848396,51.528678894043,images/test\fhrs_5_en-GB.png
Fresh Wharf Patrol Base,Restaurant/Cafe/Canteen,IG11 7BG,5,fhrs_5_en-GB,2022-04-25,Barking and Dagenham,0.073854997754097,51.5306701660156,images/test\fhrs_5_en-GB.png
Frying Pan,Takeaway/sandwich shop,RM9 6UX,3,fhrs_3_en-GB,2024-02-24,Barking and Dagenham,0.146155,51.532068,images/test\fhrs_3_en-GB.png
Fu Min,Takeaway/sandwich shop,RM9 5SL,5,fhrs_5_en-GB,2023-09-07,Barking and Dagenham,0.131881,51.551807,images/test\fhrs_5_en-GB.png
Future Youth Zone,Restaurant/Cafe/Canteen,RM9 5YX,5,fhrs_5_en-GB,2023-10-06,Barking and Dagenham,0.1248636,51.5457585,images/test\fhrs_5_en-GB.png
Gah Moon House Take Away,Takeaway/sandwich shop,RM10 9XA,1,fhrs_1_en-GB,2023-10-05,Barking and Dagenham,0.159319,51.539372,images/test\fhrs_1_en-GB.png
